"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2024","179.23","179.59","179.88","179.16","","-0.18%"
"12/29/2023","179.56","180.04","180.56","179.28","","-0.24%"
"12/28/2023","179.99","181.54","181.55","178.98","","-0.82%"
"12/27/2023","181.47","181.11","182.22","181.07","","0.15%"
"12/26/2023","181.19","180.69","181.33","180.49","","0.32%"
"12/25/2023","180.62","181.01","181.40","180.26","","-0.13%"
"12/22/2023","180.86","180.35","181.43","179.99","","0.31%"
"12/21/2023","180.30","181.46","181.51","179.78","","-0.62%"
"12/20/2023","181.42","183.13","183.37","181.26","","-0.91%"
"12/19/2023","183.08","180.52","184.23","180.01","","1.46%"
"12/18/2023","180.45","180.21","181.23","179.99","","0.15%"
"12/15/2023","180.18","181.12","181.76","179.82","","-0.51%"
"12/14/2023","181.11","180.29","181.26","178.35","","0.45%"
"12/13/2023","180.29","182.73","183.18","180.18","","-1.30%"
"12/12/2023","182.67","183.51","183.60","182.25","","-0.43%"
"12/11/2023","183.45","181.79","184.36","181.52","","0.89%"
"12/08/2023","181.83","181.38","182.08","179.52","","0.21%"
"12/07/2023","181.44","185.04","185.07","178.68","","-1.93%"
"12/06/2023","185.01","185.36","185.86","184.96","","-0.14%"
"12/05/2023","185.27","185.93","186.21","185.04","","-0.33%"
"12/04/2023","185.88","186.68","186.68","185.02","","-0.37%"
"12/01/2023","186.57","187.09","187.55","186.15","","-0.26%"
"11/30/2023","187.05","186.96","187.60","186.21","","0.07%"
"11/29/2023","186.91","187.24","187.59","186.60","","-0.14%"
"11/28/2023","187.18","187.74","187.95","187.02","","-0.28%"
"11/27/2023","187.70","188.39","188.56","187.58","","-0.34%"
"11/24/2023","188.34","187.48","188.69","187.07","","0.48%"
"11/23/2023","187.44","186.84","187.63","186.26","","0.35%"
"11/22/2023","186.79","186.09","187.07","185.62","","0.40%"
"11/21/2023","186.04","185.57","186.13","184.45","","0.29%"
"11/20/2023","185.51","186.50","186.81","184.61","","-0.50%"
"11/17/2023","186.44","186.99","187.18","185.30","","-0.28%"
"11/16/2023","186.97","188.00","188.03","186.80","","-0.50%"
"11/15/2023","187.91","187.98","188.32","187.09","","-0.01%"
"11/14/2023","187.93","186.31","188.36","186.02","","0.91%"
"11/13/2023","186.24","185.21","186.35","184.97","","0.58%"
"11/10/2023","185.16","184.99","185.38","184.62","","0.11%"
"11/09/2023","184.95","185.47","185.94","184.83","","-0.25%"
"11/08/2023","185.42","184.94","185.71","184.52","","0.28%"
"11/07/2023","184.90","185.25","185.53","184.62","","-0.18%"
"11/06/2023","185.23","184.87","185.99","184.67","","0.20%"
"11/03/2023","184.86","183.60","185.10","183.22","","0.71%"
"11/02/2023","183.55","183.43","183.79","182.74","","0.09%"
"11/01/2023","183.39","184.38","184.43","182.92","","-0.50%"
"10/31/2023","184.31","181.48","184.45","181.27","","1.59%"
"10/30/2023","181.42","181.29","181.93","180.74","","0.04%"
"10/27/2023","181.35","182.40","182.54","181.03","","-0.55%"
"10/26/2023","182.35","181.98","182.61","181.05","","0.26%"
"10/25/2023","181.87","182.38","182.50","181.61","","-0.22%"
"10/24/2023","182.28","183.40","183.77","182.04","","-0.58%"
"10/23/2023","183.35","182.20","183.46","182.07","","0.63%"
"10/20/2023","182.21","181.92","182.47","181.28","","0.19%"
"10/19/2023","181.87","182.03","182.54","181.16","","-0.07%"
"10/18/2023","182.00","182.52","182.87","181.84","","-0.24%"
"10/17/2023","182.43","182.65","182.87","181.59","","-0.13%"
"10/16/2023","182.66","181.54","182.84","181.29","","0.60%"
"10/13/2023","181.57","182.51","182.97","181.26","","-0.43%"
"10/12/2023","182.35","183.67","183.85","182.32","","-0.69%"
"10/11/2023","183.62","182.72","183.83","182.46","","0.51%"
"10/10/2023","182.68","181.73","182.84","181.53","","0.54%"
"10/09/2023","181.69","182.59","182.59","181.25","","-0.57%"
"10/06/2023","182.74","181.07","183.02","180.82","","0.95%"
"10/05/2023","181.02","180.98","181.20","180.27","","0.10%"
"10/04/2023","180.84","179.94","181.29","179.55","","0.50%"
"10/03/2023","179.94","181.13","181.45","178.15","","-0.64%"
"10/02/2023","181.10","182.35","182.85","181.10","","-0.58%"
"09/29/2023","182.16","182.15","183.05","181.87","","0.04%"
"09/28/2023","182.09","181.58","182.47","181.04","","0.29%"
"09/27/2023","181.56","181.23","181.72","180.87","","0.20%"
"09/26/2023","181.20","181.77","181.88","181.04","","-0.33%"
"09/25/2023","181.80","181.60","182.03","181.39","","0.12%"
"09/22/2023","181.58","181.47","182.35","181.19","","0.08%"
"09/21/2023","181.43","183.12","183.29","180.84","","-0.91%"
"09/20/2023","183.10","183.24","183.46","182.44","","-0.05%"
"09/19/2023","183.20","182.79","183.53","182.71","","0.25%"
"09/18/2023","182.75","183.10","183.37","182.70","","-0.17%"
"09/15/2023","183.06","183.01","183.95","182.76","","0.03%"
"09/14/2023","183.00","184.18","184.20","182.50","","-0.61%"
"09/13/2023","184.12","183.73","184.43","183.18","","0.26%"
"09/12/2023","183.64","183.37","183.98","182.93","","0.17%"
"09/11/2023","183.32","184.51","184.68","182.67","","-0.49%"
"09/08/2023","184.23","183.74","184.51","183.04","","0.28%"
"09/07/2023","183.71","184.68","184.79","183.37","","-0.53%"
"09/06/2023","184.68","185.63","185.69","184.12","","-0.48%"
"09/05/2023","185.57","184.90","185.82","184.05","","0.38%"
"09/04/2023","184.86","184.10","185.13","183.83","","0.43%"
"09/01/2023","184.07","184.47","184.62","183.51","","-0.20%"
"08/31/2023","184.43","186.00","186.07","184.06","","-0.84%"
"08/30/2023","185.99","184.39","186.10","184.35","","0.86%"
"08/29/2023","184.41","184.71","185.43","184.05","","-0.15%"
"08/28/2023","184.68","184.16","184.73","184.13","","0.29%"
"08/25/2023","184.14","183.76","184.47","183.38","","0.23%"
"08/24/2023","183.72","184.35","184.82","183.63","","-0.32%"
"08/23/2023","184.31","185.76","185.98","183.34","","-0.75%"
"08/22/2023","185.71","186.49","186.79","185.51","","-0.39%"
"08/21/2023","186.43","185.13","186.70","184.88","","0.70%"
"08/18/2023","185.13","185.87","185.98","184.54","","-0.39%"
"08/17/2023","185.86","186.34","186.50","185.54","","-0.21%"
"08/16/2023","186.25","184.99","186.37","184.68","","0.72%"
"08/15/2023","184.92","184.63","185.35","184.33","","0.19%"
"08/14/2023","184.57","184.07","184.76","183.45","","0.30%"
"08/11/2023","184.01","183.51","184.29","183.37","","0.31%"
"08/10/2023","183.45","182.79","184.27","182.66","","0.37%"
"08/09/2023","182.78","182.78","183.06","182.32","","0.02%"
"08/08/2023","182.75","182.18","183.04","181.36","","0.32%"
"08/07/2023","182.16","180.79","182.24","180.57","","0.81%"
"08/04/2023","180.70","181.29","181.77","180.63","","-0.28%"
"08/03/2023","181.21","182.18","182.80","180.45","","-0.53%"
"08/02/2023","182.17","183.14","183.18","181.74","","-0.52%"
"08/01/2023","183.13","182.69","183.35","182.57","","0.28%"
"07/31/2023","182.62","181.38","183.22","180.85","","0.68%"
"07/28/2023","181.38","178.43","181.54","176.31","","1.67%"
"07/27/2023","178.40","181.43","181.98","177.41","","-1.66%"
"07/26/2023","181.42","181.79","181.98","180.91","","-0.16%"
"07/25/2023","181.71","181.57","182.07","181.13","","0.12%"
"07/24/2023","181.50","182.35","182.39","180.74","","-0.42%"
"07/21/2023","182.27","180.24","182.57","179.90","","1.15%"
"07/20/2023","180.20","180.74","180.77","179.60","","-0.27%"
"07/19/2023","180.69","181.05","181.67","179.80","","-0.13%"
"07/18/2023","180.92","181.43","181.87","180.32","","-0.22%"
"07/17/2023","181.31","181.58","182.18","180.55","","-0.13%"
"07/14/2023","181.54","181.28","182.35","180.20","","0.15%"
"07/13/2023","181.27","179.89","181.54","179.49","","0.78%"
"07/12/2023","179.86","181.55","181.58","179.47","","-0.92%"
"07/11/2023","181.53","181.74","182.02","180.79","","-0.09%"
"07/10/2023","181.70","182.37","183.24","181.09","","-0.36%"
"07/07/2023","182.36","183.51","183.62","181.99","","-0.64%"
"07/06/2023","183.53","183.77","184.05","182.48","","-0.13%"
"07/05/2023","183.76","183.65","184.05","183.14","","0.08%"
"07/04/2023","183.62","183.66","183.99","183.23","","0.03%"
"07/03/2023","183.57","183.12","183.80","183.05","","0.13%"
"06/30/2023","183.34","182.60","183.92","182.18","","0.42%"
"06/29/2023","182.58","182.57","182.91","182.21","","0.02%"
"06/28/2023","182.54","183.74","183.76","182.12","","-0.59%"
"06/27/2023","183.63","182.45","183.84","182.21","","0.66%"
"06/26/2023","182.42","182.65","183.02","181.68","","-0.11%"
"06/23/2023","182.63","182.38","182.97","181.24","","0.12%"
"06/22/2023","182.41","181.20","182.60","180.70","","0.68%"
"06/21/2023","181.17","180.59","181.63","179.91","","0.38%"
"06/20/2023","180.49","181.63","182.11","179.91","","-0.61%"
"06/19/2023","181.59","181.82","182.15","181.21","","-0.10%"
"06/16/2023","181.77","179.34","182.08","178.80","","1.37%"
"06/15/2023","179.32","177.45","179.44","177.24","","1.10%"
"06/14/2023","177.37","176.84","177.46","176.43","","0.33%"
"06/13/2023","176.78","174.57","176.88","174.43","","1.22%"
"06/12/2023","174.65","175.24","175.80","174.35","","-0.28%"
"06/09/2023","175.14","174.46","175.58","174.28","","0.44%"
"06/08/2023","174.37","174.27","174.57","173.88","","0.09%"
"06/07/2023","174.21","173.46","174.48","172.65","","0.43%"
"06/06/2023","173.46","173.49","173.80","172.66","","-0.05%"
"06/05/2023","173.55","174.29","174.41","172.84","","-0.37%"
